planner,pair,samples,seed,success,time_s,len_m,ratio_vs_astar,min_clear_m,frac_unknown,n_occ_hits,error
custom_inflated,4,2000,2,1,0.0273,6.805,0.945,0.25,0.0,0,
custom_strict,4,2000,3,1,0.0337,6.55,0.932,0.05,0.0,0,
custom_inflated,4,2000,3,1,0.027,6.79,0.943,0.22,0.0,0,
custom_strict,4,2000,4,1,0.0348,6.63,0.943,0.11,0.0,0,
custom_inflated,4,2000,4,1,0.0274,6.805,0.945,0.22,0.0,0,
custom_strict,4,2000,5,1,0.034,6.555,0.933,0.05,0.0,0,
custom_inflated,4,2000,5,1,0.0269,6.764,0.939,0.25,0.0,0,
custom_strict,4,4000,1,1,0.0527,6.515,0.927,0.05,0.0,0,
custom_inflated,4,4000,1,1,0.0422,6.696,0.93,0.22,0.0,0,
custom_strict,4,4000,2,1,0.0543,6.508,0.926,0.05,0.0,0,
custom_inflated,4,4000,2,1,0.0427,6.736,0.935,0.21,0.0,0,
custom_strict,4,4000,3,1,0.055,6.536,0.93,0.05,0.0,0,
custom_inflated,4,4000,3,1,0.0434,6.696,0.929,0.22,0.0,0,
custom_strict,4,4000,4,1,0.0573,6.506,0.926,0.05,0.0,0,
custom_inflated,4,4000,4,1,0.0449,6.715,0.932,0.22,0.0,0,
custom_strict,4,4000,5,1,0.054,6.538,0.93,0.05,0.0,0,
custom_inflated,4,4000,5,1,0.0429,6.706,0.931,0.22,0.0,0,
repo_ompl,4,500,1,1,0.0422,6.358,0.905,0.0,0.05,18,
repo_ompl,4,500,2,1,0.0644,6.317,0.899,0.0,0.128,12,
repo_ompl,4,500,3,1,0.0573,6.751,0.961,0.0,0.108,19,
repo_ompl,4,2000,1,1,0.0542,6.43,0.915,0.0,0.045,18,
repo_ompl,4,2000,2,1,0.1102,6.414,0.913,0.0,0.211,11,
repo_ompl,4,2000,3,1,0.0694,6.451,0.918,0.0,0.067,16,
repo_ompl,4,4000,1,1,0.0757,6.51,0.926,0.0,0.204,6,
repo_ompl,4,4000,2,1,0.1077,6.414,0.913,0.0,0.211,11,
repo_ompl,4,4000,3,1,0.0898,6.355,0.904,0.0,0.0,4,
